name,description,formula,csf_function,priority_rank,direction,target_value,target_units,owner_function,data_source,collection_frequency,current_value,notes
"Board Cyber Briefing Frequency","Number of cybersecurity briefings provided to board of directors per year","Count of board presentations with cybersecurity risk content",gv,1,higher_is_better,4.0,"per year",CISO,"Executive calendar and meeting minutes",quarterly,4.0,"Executive oversight engagement"
"Policy Compliance Rate","Percentage of organizational units meeting cybersecurity policy requirements","Compliant units / Total units * 100",gv,1,higher_is_better,95.0,%,GRC,"Policy management system",monthly,87.3,"Department policy adherence"
"Cybersecurity Budget Allocation","Percentage of IT budget allocated to cybersecurity","Cybersecurity budget / Total IT budget * 100",gv,1,higher_is_better,8.0,%,CISO,"Budget tracking system",quarterly,6.2,"Industry benchmark 8-12%"
"Risk Assessment Frequency","Number of formal risk assessments conducted per year","Count of completed risk assessments",gv,2,higher_is_better,2.0,"per year",GRC,"Risk management system",quarterly,2.0,"Semi-annual comprehensive reviews"
"Security Training Completion Rate","Percentage of employees completing mandatory security training","Trained employees / Total employees * 100",gv,2,higher_is_better,95.0,%,"HR/Training","Learning management system",monthly,92.1,"Annual mandatory training"
"Incident Response Plan Testing","Frequency of incident response plan testing and updates","Count of IR plan tests/exercises per year",gv,2,higher_is_better,2.0,"per year","IR Team","Incident management system",quarterly,1.0,"Tabletop and technical exercises"
"Third-Party Risk Assessments","Percentage of critical vendors with current security assessments","Assessed vendors / Critical vendors * 100",gv,2,higher_is_better,90.0,%,"Vendor Mgmt","Vendor risk management system",quarterly,78.4,"Annual vendor reviews"
"Asset Inventory Accuracy","Percentage of IT assets accurately inventoried and classified","Known assets / Discovered assets * 100",id,1,higher_is_better,99.0,%,ITAM,"Asset management system",weekly,96.7,"Hardware and software assets"
"Vulnerability Scan Coverage","Percentage of assets covered by regular vulnerability scanning","Scanned assets / Total assets * 100",id,1,higher_is_better,100.0,%,SecOps,"Vulnerability scanner",weekly,98.2,"Weekly automated scans"
"Critical Vulnerability MTTF (Mean Time to Fix)","Average time to remediate critical vulnerabilities","Sum of remediation times / Number of critical vulns",id,1,lower_is_better,7.0,days,IT Ops,"Vulnerability management system",monthly,12.3,"SLA target 7 days"
"Network Mapping Completeness","Percentage of network infrastructure documented and mapped","Documented network elements / Total elements * 100",id,2,higher_is_better,95.0,%,"Network Ops","Network discovery tools",monthly,89.1,"Network topology accuracy"
