name,description,formula,csf_function,priority_rank,direction,target_value,target_units,owner_function,data_source,collection_frequency,current_value,notes,csf_category_code,csf_subcategory_code,csf_category_name,csf_subcategory_outcome
Board Cyber Briefing Frequency,Number of cybersecurity briefings provided to board of directors per year,Count of board presentations with cybersecurity risk content,gv,1,higher_is_better,4.0,per year,CISO,Executive calendar and meeting minutes,quarterly,4.0,Executive oversight engagement,GV.OC,GV.OC-05,Organizational Context,"Outcomes, roles, and responsibilities for cybersecurity risk management are established, communicated, and enforced"
Policy Compliance Rate,Percentage of organizational units meeting cybersecurity policy requirements,Compliant units / Total units * 100,gv,1,higher_is_better,95.0,%,GRC,Policy management system,monthly,87.3,Department policy adherence,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Cybersecurity Budget Allocation,Percentage of IT budget allocated to cybersecurity,Cybersecurity budget / Total IT budget * 100,gv,1,higher_is_better,8.0,%,CISO,Budget tracking system,quarterly,6.2,Industry benchmark 8-12%,GV.OC,GV.OC-02,Organizational Context,The organizational structure and resource allocation for cybersecurity are understood
CISO Direct Reporting to Executive Level,Executive level of CISO reporting relationship,Boolean check if CISO reports to CEO/COO level,gv,1,binary,1.0,boolean,CISO,Organizational chart,quarterly,1.0,C-level reporting structure,,,,
Cybersecurity Strategy Document Currency,Age of current cybersecurity strategy document,Months since last strategy update,gv,1,lower_is_better,12.0,months,CISO,Strategy documentation system,quarterly,8.0,Annual strategy refresh,,,,
Risk Assessment Frequency,Number of formal risk assessments conducted per year,Count of completed risk assessments,gv,2,higher_is_better,2.0,per year,GRC,Risk management system,quarterly,2.0,Semi-annual comprehensive reviews,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security Training Completion Rate,Percentage of employees completing mandatory security training,Trained employees / Total employees * 100,gv,2,higher_is_better,95.0,%,HR/Training,Learning management system,monthly,92.1,Annual mandatory training,PR.AT,PR.AT-01,Awareness and Training,"Personnel are trained to perform their cybersecurity-related duties and responsibilities consistent with organizational policies, standards, and procedures"
Incident Response Plan Testing,Frequency of incident response plan testing and updates,Count of IR plan tests/exercises per year,gv,2,higher_is_better,2.0,per year,IR Team,Incident management system,quarterly,1.0,Tabletop and technical exercises,RS.RP,RS.RP-01,Response Planning,"A response plan that addresses roles, responsibilities, and communication protocols during and after an incident is developed and implemented"
Third-Party Risk Assessments,Percentage of critical vendors with current security assessments,Assessed vendors / Critical vendors * 100,gv,2,higher_is_better,90.0,%,Vendor Mgmt,Vendor risk management system,quarterly,78.4,Annual vendor reviews,GV.SC,GV.SC-04,Supply Chain Risk Management,Suppliers are evaluated and selected based on their security posture and ability to meet contractual cybersecurity requirements
Cybersecurity Governance Committee Meeting Frequency,Number of security governance committee meetings per quarter,Count of governance meetings per quarter,gv,2,higher_is_better,3.0,per quarter,CISO,Meeting management system,quarterly,2.0,Monthly governance meetings,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Risk Tolerance Statement Currency,Months since risk tolerance statement was updated,Months since last risk tolerance update,gv,2,lower_is_better,24.0,months,GRC,Risk management system,quarterly,18.0,Biennial review cycle,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Cybersecurity Maturity Assessment Score,Overall cybersecurity maturity score based on framework assessment,Weighted average of capability maturity scores,gv,2,higher_is_better,3.0,maturity level,GRC,Maturity assessment framework,quarterly,2.7,5-point maturity scale,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security Investment ROI Measurement,Percentage of security investments with defined ROI metrics,Investments with ROI metrics / Total investments * 100,gv,2,higher_is_better,80.0,%,CISO,Investment tracking system,quarterly,65.2,Business case documentation,,,,
